field_key,field_title,reason,final_decision,severity
safetyplan_text,Safety Plan,,,
response,Response:,,accept,0.0
response,Client Response,,,
notes_textbox,Notes:,,accept,0.0
plan_textbox,Plan:,,accept,0.0
notes_textbox,Notes:,,accept,0.0
plan_textbox,Plan:,,accept,0.0
notes_tb,Notes:,,accept,0.0
event_text,,,,
intervention_text, ,,,
hide_PLAN_header, ,,,
hide_TREATMENT_header, ,,,
hide_ASSESSMENT_header, ,,,
situation,Situation,,accept,0.0
response,Client Response,,,
response,Client Response to Intervention,,,
response,Client Response to Intervention,,,
response,Client Response to Intervention,,,
response,Client Response to Intervention,,,
content_of_contact,Content of Contact,,accept,0.0
action_taken,Action Taken/Referrals/Additional Needs,,,
goals_addressed,Goals Addressed,,accept,0.0
situation_text,,,,
response_text,,,,
purpose,Purpose,,accept,0.0
response,Response,,accept,0.0
description,Description:,,accept,0.0
client_response,Client Response to Intervention,,,
client_intervsummary,"What client said, intervention, and summary of session:",,,
client_response,Client response to intervention:,,,
assigned_homework,"Assigned homework, action steps, or comments on plan:",,,
narrative,Brief Narrative of Session,,,
living_skills_text,Community Living Skills Note,,,
socialization_text,Socialization Note,,,
advocacy_text,Self-Advocacy Note,,,
supports_text,Developing Natural Supports Note,,,
sharing_text,Sharing Note,,,
topics_discussed,Topics Discussed:,,accept,0.0
narrative,Narrative*,,accept,0.0
status_text,,,,
explanation_skills_text,,,,
explanation_training_text,,,,
narrative_text,,,,
explanation_progress_text,,,,
situation_text,Situation,,accept,0.0
intervention_text,Intervention,,accept,0.0
response_text,Response,,accept,0.0
observations,Observations,,accept,0.0
response_outcome,Response/Outcome,,accept,0.0
prescreening_supplement,Prescreening Supplement,,accept,0.0
narrative,Narrative,,accept,0.0
focus,"What was the focus of the session (i.e alleviation of emotional disturbances, reversal or change of maladaptive Patters or behaviors, encouragement of personality growth or development)?",,,
response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barrier to progress.",,,
focus_text,,,,
session_text,Session Notes,,,
interventions_text,Interventions Used/Response to Interventions*,,,
progress_text,Progress*,,accept,0.0
description,Description,,accept,0.0
response_text,Client Response/Assessment,,,
desc_education,Describe Education,,,
clin_obs,Clinical Observations,,,
client_response,Client Responses,,accept,0.0
progress_towards,Progress Towards Recovery Plan Objectives,,,
desc_details,Describe details of housing service,,,
clin_obs,Clinical Observations,,,
client_response,Client Responses,,accept,0.0
progress_towards,Progress Towards Recovery Plan Objectives,,,
timelines,Timelines for Next Service,,,
what_actions,What actions should the individual complete before next service?,,,
additional,Additional progress this session,,,
additional,Additional progress this session,,,
other_contact,Other contact,,accept,0.0
significant_changes_model,My Significant Changes/Needs/Life Events since last review,,,
progressinterventionrecs,Progress/Intervention/Recommendations/Additional Comments,,,
client_satisfaction_with_services_comment,Consumer/Parent/Guardian Satisfaction with Services Comment,,,
Purpose,Purpose of Contact,,,
Response,Customer Response,,,
explanation,"Explanation (use direct quotes from Customer, when possible)",,,
details,Describe details of follow up service,,,
observations,Clinical Observations,,,
responses,Individuals Responses,,,
timeline,Timeline for Next Service,,,
progress_towards_objectives,Progress towards objectives being addressed,,,
progress_towards_objectives_being_addressed,Progress towards objectives being addressed,,accept,0.0
focus_intervention,Focus / Intervention,,accept,0.0
plan_for_continuing_work,Plan for Continuing Work,,accept,0.0
effectiveness,Intervention Effectiveness,,,
outcomes,Describe Outcomes,,,
information,Session Information,,,
purpose,Purpose/Problem,,,
goals,Goals/Actions,,,
intervention_course,Interventions and Course of Treatment/Action,,,
purpose,Purpose/Present,,,
response,Response,,accept,0.0
purpose,Purpose/Present,,,
response,Response,,accept,0.0
goal,Goal,,accept,0.0
interventions_plan,Planned Interventions,,accept,0.0
transition_plan,Transition Plan,,accept,0.0
focus,Focus of Session,,,
care_plan,Care Plan,,accept,0.0
current_service,"Describe current service(s), how the service addressed the beneficiary's behavioral health need (e.g., symptom, condition, diagnosis, and/or risk factors).",,,
service,"Describe current service(s), how the service addressed the beneficiary's behavioral health need (e.g., symptom, condition, diagnosis, and/or risk factors).",,,
goal,Goal,,accept,0.0
transition_plan,Transition Plan,,accept,0.0
presenting_issues,Today's presenting issues,,,
safety_plan_comments,Comments,,accept,0.0
response,Response to Interventions,,,
Progresstextbox,Progress on treatment plan (ISP) goals since last visit:,,,
Itemstextbox,Items addressed today which are on the treatment plan (ISP)?,,,
Interventionstextbox,Interventions used and client's response to treatment:*,,,
Moodtextbox,Mood / Behavior / Affect / Functioning / Substance Use:,,,
Suicidalitytextbox,Suicidality / Danger to Others:,,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):,,,
Progresstextbox,Progress on treatment plan (ISP) goals since last visit:,,,
Itemstextbox,Items addressed today which are on the treatment plan (ISP)?,,,
Interventionstextbox,Interventions used and client's response to treatment:,,,
Moodtextbox,Mood / Behavior / Affect / Functioning / Substance Use:,,,
Suicidalitytextbox,Suicidality / Danger to Others:,,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):,,,
Progresstextbox,Progress on goals since last visit:,,,
Interventionstextbox,"Describe interventions used and manner of delivery, including treatment goals addressed and client's response:",,,
Moodtextbox,Mood / Behavior / Affect / Functioning / Substance Use:,,,
Suicidalitytextbox,"Suicidality / Danger to Others: If suicidality / danger to others present, complete a Risk Assessment service. If not clinically relevant, put None Reported.",,,
Providertextbox,Provider / Client Plan of Action (or future directions/next steps):,,,
presentingproblemtb,Presenting Problem: (diagnosis and relevant symptoms),,,
treatmentgoaltb,Goals for treatment: (what do you hope will be different for you),,,
psychoeducationtb,Psychoeducation provided: (information about diagnosis/effective EBP and expected outcomes),,,
treatmentbarriertb,"Possible barrier to treatment: (transportation, childcare, ability to follow through etc.)",,,
plantb,Plan: (Next steps for starting therapy services),,,
Narrative_text,Narrative,,accept,0.0
narrative,Narrative,,accept,0.0
health,Health & Safety Issues,,,
coordinating,Linking & Coordinating,,,
purpose_of_session,Purpose of Session:,,accept,0.0
summary_of_session,Summary of Session (What interventions were utilized and why were they necessary?):,,,
service,Service,,accept,0.0
during_service,What Occurred during this service event,,,
behavior,Describe any pertinent event or behavior relating to the individual which occurs during the provision of this service,,,
progress_text,,,,
follow_up,What follow up is needed,,,
scope,Scope of Service/Interventions,,,
response,Client Response to Interventions,,,
skills,Skills taught/reinforced/materials used,,,
response,Response to Intervention,,,
BehaviorText,,,,
InterventionText,,,,
ResponseText,,,,
PlanText,,,,
AdditionalInfoText,,,,
ParticipantsText,,,,
PhysicalLocationProviderText,,,,
PhysicalLocationClientText,,,,
WhoInSessionCheckboxText,,,,
OtherText,,,,
clinical_intervention,Clinical Intervention / Progress Toward Measurable Outcome,,,
homework_plan,Homework/Plan for Next Session,,,
focus_session,"What was the focus of the session (i.e. alleviation of emotional disturbances, reversal or change of maladaptive Patterns or behaviors, encouragement of personality growth or development)?",,,
client_response,"Describe the client's response to the intervention, progress made toward goals and clients strengths. If progress is not being made, describe reasons and barriers to progress.",,,
plan_document,Document the plan. If there were barriers describe the plan to overcome the barriers.,,,
intervention_description_and_narrative,Describe Interventions Delivered:,,,
patients_response_interventions_delivered,Describe the Patient's Response to Interventions Delivered & Plans for Follow Up:,,,
